"","Date","Democrat","Republican"
"1","--","49.2","49.6"
"2","10/29 - 11/5","49.4","45.8"
"3","11/4 - 11/5","47","50"
"4","11/3 - 11/4","50","45"
"5","11/1 - 11/3","51","46"
"6","10/29 - 11/4","49","45"
"7","10/29 - 11/4","50","43"
"8","10/28 - 11/3","48","45"
"9","11/1 - 11/2","48","46"
"10","10/29 - 11/2","48","47"
"11","10/30 - 11/1","50","46"
"12","10/29 - 10/30","48","46"
"13","10/25 - 10/28","45","44"
"14","10/24 - 10/29","49","48"
"15","10/23 - 10/27","48","43"
"16","10/23 - 10/26","47","46"
"17","10/23 - 10/26","49","43"
"18","10/22 - 10/23","51","46"
"19","10/20 - 10/21","47","46"
"20","10/16 - 10/23","45","48"
"21","10/18 - 10/21","41","37"
"22","10/18 - 10/21","49","42"
"23","10/17 - 10/21","52","46"
"24","10/16 - 10/20","54","42"
"25","10/15 - 10/16","47","46"
"26","9/29 - 9/30","47","45"
"27","9/17 - 9/30","44","43"
"28","9/24 - 9/27","45","44"
"29","9/20 - 9/24","54","45"
"30","9/16 - 9/20","48","43"
"31","9/17 - 9/19","47","43"
"32","9/13 - 9/16","41","39"
"33","9/10 - 9/11","48","42"
"34","9/7 - 9/9","47","43"
"35","9/5 - 9/6","48","47"
"36","8/30 - 9/3","50","47"
"37","8/29 - 8/30","47","45"
"38","7/13 - 7/14","36","39"
"39","2/26 - 3/19","33","29"
"40","--","49.2","49.6"
"41","10/29 - 11/5","49.4","45.8"
"42","11/4 - 11/5","47","50"
"43","11/3 - 11/4","50","45"
"44","11/1 - 11/3","51","46"
"45","10/29 - 11/4","49","45"
"46","10/29 - 11/4","50","43"
"47","10/28 - 11/3","48","45"
"48","11/1 - 11/2","48","46"
"49","10/29 - 11/2","48","47"
"50","10/30 - 11/1","50","46"
"51","10/29 - 10/30","48","46"
"52","10/25 - 10/28","45","44"
"53","10/24 - 10/29","49","48"
"54","10/23 - 10/27","48","43"
"55","10/23 - 10/26","47","46"
"56","10/23 - 10/26","49","43"
"57","10/22 - 10/23","51","46"
"58","10/20 - 10/21","47","46"
"59","10/16 - 10/23","45","48"
"60","10/18 - 10/21","41","37"
"61","10/18 - 10/21","49","42"
"62","10/17 - 10/21","52","46"
"63","10/16 - 10/20","54","42"
"64","10/15 - 10/16","47","46"
"65","9/29 - 9/30","47","45"
"66","9/17 - 9/30","44","43"
"67","9/24 - 9/27","45","44"
"68","9/20 - 9/24","54","45"
"69","9/16 - 9/20","48","43"
"70","9/17 - 9/19","47","43"
"71","9/13 - 9/16","41","39"
"72","9/10 - 9/11","48","42"
"73","9/7 - 9/9","47","43"
"74","9/5 - 9/6","48","47"
"75","8/30 - 9/3","50","47"
"76","8/29 - 8/30","47","45"
"77","7/13 - 7/14","36","39"
"78","2/26 - 3/19","33","29"
"79","--","50.2","48.8"
"80","10/14 - 11/3","48.8","45.8"
"81","10/30 - 11/3","52","40"
"82","10/29 - 10/31","49","47"
"83","10/28 - 10/29","47","48"
"84","10/21 - 10/30","47","47"
"85","10/21 - 10/22","48","48"
"86","10/14 - 10/18","49","47"
"87","10/3 - 10/8","47","45"
"88","9/30 - 10/9","48","46"
"89","10/1 - 10/1","48","46"
"90","8/26 - 9/4","45","45"
"91","7/27 - 7/29","44","46"
"92","7/15 - 7/19","46","44"
"93","2/20 - 2/23","37","40"
"94","--","52.3","43.8"
"95","10/26 - 10/29","43","42"
"96","10/19 - 10/22","48","44"
"97","10/12 - 10/14","52","45"
"98","10/1 - 10/6","55","41"
"99","9/21 - 9/25","50","47"
"100","--","45.3","49.4"
"101","10/29 - 11/4","46.3","45.7"
"102","11/1 - 11/4","47","48"
"103","10/29 - 11/4","45","44"
"104","10/29 - 11/1","47","45"
"105","10/28 - 11/3","45","44"
"106","10/24 - 10/29","45","46"
"107","10/24 - 10/26","44","46"
"108","10/10 - 10/12","46","41"
"109","10/8 - 10/10","46","45"
"110","9/30 - 10/3","46","45"
"111","9/25 - 9/29","41","45"
"112","9/11 - 9/12","38","50"
"113","9/5 - 9/10","35","37"
"114","7/25 - 7/29","42","41"
"115","6/23 - 6/26","43","41"
"116","4/12 - 4/19","37","43"
"117","--","50.0","43.9"
"118","10/4 - 10/30","44.0","39.7"
"119","10/29 - 10/30","45","42"
"120","10/26 - 10/28","47","42"
"121","10/4 - 10/11","40","35"
"122","9/24 - 10/7","49","45"
"123","9/20 - 9/23","42","41"
"124","9/12 - 9/13","46","36"
"125","7/30 - 7/31","42","43"
"126","7/16 - 7/17","45","45"
"127","1/25 - 1/31","46","29"
"128","--","55.8","42.5"
"129","10/15 - 10/30","55.0","38.3"
"130","10/28 - 10/30","51","43"
"131","10/25 - 10/26","59","33"
"132","10/22 - 10/28","54","40"
"133","10/15 - 10/21","56","37"
"134","10/9 - 10/13","57","39"
"135","10/8 - 10/11","57","35"
"136","10/3 - 10/9","58","38"
"137","10/1 - 10/5","53","33"
"138","9/11 - 9/17","58","39"
"139","9/6 - 9/7","53","34"
"140","8/22 - 8/25","48","28"
"141","8/12 - 8/16","56","37"
"142","7/26 - 7/31","51","38"
"143","7/9 - 7/26","47","31"
"144","7/3 - 7/7","51","41"
"145","6/8 - 6/17","44","32"
"146","5/23 - 5/29","53","34"
"147","5/19 - 5/21","48","36"
"148","4/12 - 4/17","49","40"
"149","--","57.1","42.9"
"150","10/24 - 11/1","52.3","44.3"
"151","10/26 - 11/1","53","43"
"152","10/29 - 10/29","51","46"
"153","10/24 - 10/26","53","44"
"154","9/7 - 9/13","50","43"
"155","8/17 - 8/18","42","40"
"156","6/19 - 6/23","51","38"
"157","--","61.3","38.7"
"158","10/19 - 11/5","55.3","38.8"
"159","11/1 - 11/5","53","38"
"160","10/25 - 10/27","55","42"
"161","10/25 - 10/26","55","35"
"162","10/19 - 10/26","58","40"
"163","10/18 - 10/20","54","41"
"164","10/17 - 10/19","52","32"
"165","10/10 - 10/24","53","34"
"166","10/12 - 10/21","49","38"
"167","10/12 - 10/14","51","43"
"168","10/12 - 10/14","52","35"
"169","10/5 - 10/7","54","42"
"170","9/17 - 10/14","54","31"
"171","9/28 - 9/30","50","45"
"172","9/21 - 9/23","53","42"
"173","9/9 - 9/18","51","39"
"174","7/8 - 7/17","55","31"
"175","6/26 - 6/27","58","29"
"176","6/6 - 6/17","45","28"
"177","--","59.0","36.8"
"178","10/10 - 11/1","53.5","35.5"
"179","10/28 - 11/1","49","36"
"180","10/10 - 10/16","58","35"
"181","9/20 - 9/27","56","38"
"182","7/12 - 7/16","57","31"
"183","6/4 - 6/7","56","37"
"184","4/26 - 5/1","57","26"
"185","4/8 - 4/12","57","31"
"186","3/11 - 3/16","57","29"
"187","9/12 - 11/1","56.3","36.7"
"188","10/28 - 11/1","58","37"
"189","10/22 - 10/28","59","33"
"190","9/17 - 9/23","52","30"
"191","9/13 - 9/19","55","36"
"192","9/12 - 9/13","52","40"
"193","8/20 - 8/26","52","35"
"194","8/12 - 8/16","54","40"
"195","6/21 - 6/25","49","36"
"196","6/4 - 6/10","48","29"
"197","4/4 - 4/12","47","31"
"198","3/19 - 3/26","38","21"
"199","--","46.4","50.7"
"200","10/29 - 10/30","48","43"
"201","10/26 - 10/28","49","46"
"202","10/4 - 10/8","46","40"
"203","9/16 - 9/20","47","47"
"204","6/17 - 6/21","42","46"
"205","6/7 - 6/12","42","40"
"206","6/6 - 6/11","43","36"
"207","3/16 - 3/20","39","47"
"208","--","52.4","46.1"
"209","10/27 - 11/4","50.0","46.0"
"210","11/1 - 11/4","49","49"
"211","10/27 - 10/29","51","43"
"212","10/10 - 10/18","50","39"
"213","10/10 - 10/12","51","35"
"214","8/2 - 8/19","48","32"
"215","4/26 - 4/30","48","27"
"216","4/13 - 4/22","51","24"
"217","--","66.8","33.2"
"218","10/1 - 10/28","66.0","26.3"
